135,4.03,2.8,0.158147015,8.33,17.53,15.17,44.26,A. fasciculatum ,WTU 81642
128.4,3.38,3.42,-0.005109406,22,19.57,12.14,56.78,A. fasciculatum ,WTU-V-012741
138.16,3.8,3.32,0.058645513,8.75,19.34,13.36,40.52,A. fasciculatum ,WTU-V-17534
135,3.41,3.1,0.041392685,4.5,19.66,10.49,35.94,A. franciscanum,ASC00066501
140,3.72,2.5,0.172602931,9,20.76,15.75,47.04,A. franciscanum,ASU0094288
138.3,1.32,2.04,-0.189056236,7.6,11.31,15.58,51.04,A. franciscanum,ASU0094304
138,2.76,3.19,-0.062881601,12.33,31.89,14.34,53.64,A. franciscanum,ASU0094306
143,4.77,3.96,0.080823193,7.6,25.24,13.3,34.87,A. franciscanum,CFOBLM00320
125.8,3.89,4.5,-0.063262912,6,21.26,18.5,62.12,A. franciscanum,CIC 14235
153,4.72,3.57,0.121273783,10,24.07,15.12,33.38,A. franciscanum,COLO01793587 
134.8,3.17,3.71,-0.068314647,5,18.33,10.93,40.59,A. franciscanum,COLO01793603
155.97,2.95,3.32,-0.051316068,4.66,30.47,10.16,37.41,A. franciscanum,DES00039455
140,2.22,2.58,-0.065266732,7,19.68,8.77,33.03,A. franciscanum,DES00040056
140.59,3.86,4.94,-0.107139644,9,27.8,15.36,48.88,A. franciscanum,ID 125007
131,3.57,3.14,0.055738568,12,18.21,10.75,38.08,A. franciscanum,ID 129994
133.7,4.69,4.2,0.047923552,5.25,19.64,16.86,37.5,A. franciscanum,ID 17758
143.61,2.02,2.8,-0.141806662,2,16.63,8.44,29.05,A. franciscanum,JEPS126155
177.9,4.85,4.74,0.009963397,8,22.98,16.69,58.74,A. franciscanum,RSA0006071
138,5,3.5,0.15490196,8,24,9,35,A. franciscanum,SD 111598
152,3.25,4,-0.09017663,4,15,5.2,33,A. franciscanum,SD 116888
144,3,4,-0.124938737,4,9,9.5,33,A. franciscanum,SD 119084
144,3.5,3,0.06694679,4,27,6.2,22,A. franciscanum,SD 86027
155,3,2.5,0.079181246,2,18,5.2,55,A. franciscanum,SD108599
137,4,3,0.124938737,5,25,5.5,32,A. franciscanum,SD221184
131,4.16,5.03,-0.082474654,5,23.89,15.24,46.42,A. franciscanum,SRP 2217
137,3.89,3.08,0.101398885,8,20.72,10.27,25.98,A. franciscanum,SRP 62001
155,3.88,3.41,0.056077347,15,28.15,20.07,63.54,A. franciscanum,UBC V110849
143,4.05,3.92,0.014168956,6.75,17.48,12.09,43.95,A. franciscanum,UBC V66598
175.64,3.51,3.13,0.049762779,7,20.2,10.51,38.15,A. franciscanum,UC 718855
133,3.81,4.3,-0.05254348,3.5,20.54,12.37,45.62,A. franciscanum,UTC00280523
133,3.94,3.99,-0.005476674,6.33,22.46,16.86,40.01,A. franciscanum,WTU 156271
157.7,4.29,3.65,0.070164428,4.5,21.11,11.26,20.18,A. franciscanum,WTU 173320
124.5,4.63,3.65,0.103288127,11,21.61,16.72,40.02,A. franciscanum,WTU 217993
146.09,2.91,2.49,0.067693642,4,18.16,7.29,21.05,A. franciscanum,WTU 233687
154,4.45,4.41,0.003921422,5,28.63,12.44,36.38,A. franciscanum,WTU 24275JWT-B
142,2.5,3.95,-0.198657087,2,21.595,12.26,45.02,A. franciscanum,WTU 351387
154,3.35,4.1,-0.08773905,12,19.445,11.49,21.43,A. franciscanum,WTU 410148
153,3.76,3.2,0.070037867,6,26.05,18.54,49.66,A. franciscanum,WTU 49373
163.5,3.88,3.8,0.009048129,7,20.63,12.85,46.02,A. franciscanum,WTU 52605
170.7,4.19,3,0.145092768,3.8,24.96,11.49,39.46,A. franciscanum,WTU 52947
147.92,3.47,4.4,-0.103123202,4.67,21.13,15.63,53.9,A. franciscanum,WTU 74480
